2018-01-19 19:38:19:456	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:457	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:459	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:461	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:462	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:464	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:465	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:467	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:468	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:469	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:551	00 00 00 07 00 d3 bc f5 00 00 00 00 00 00 00 
2018-01-19 19:38:19:553	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:554	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:556	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:557	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:559	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:561	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:562	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:564	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:565	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:567	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:568	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:569	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:651	00 00 00 08 00 d3 bd 59 00 00 00 00 00 00 00 
2018-01-19 19:38:19:653	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:654	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:656	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:657	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:659	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:661	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
