2018-01-19 20:11:22:450	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:451	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:533	00 00 00 18 00 f1 fe fb 00 00 00 00 00 00 00 
2018-01-19 20:11:22:535	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:536	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:538	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:539	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:541	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:543	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:544	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:546	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:547	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:549	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:550	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:551	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:633	00 00 00 19 00 f1 ff 5f 00 00 00 00 00 00 00 
2018-01-19 20:11:22:635	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:636	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:638	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:639	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:641	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:643	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:644	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:646	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:647	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:649	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:650	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:651	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:733	00 00 00 1a 00 f1 ff c3 00 00 00 00 00 00 00 
2018-01-19 20:11:22:735	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:736	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:738	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:739	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:741	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:743	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:744	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:746	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:747	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:749	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:750	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:751	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:057	00 00 00 01 00 f2 04 ef 00 00 00 00 00 00 00 
2018-01-19 20:11:24:059	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:060	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:062	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:063	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:065	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:066	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:068	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:070	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:071	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:073	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:074	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:075	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:157	00 00 00 02 00 f2 05 53 00 00 00 00 00 00 00 
2018-01-19 20:11:24:159	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:160	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:162	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:163	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:165	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:166	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:168	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:170	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:171	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:173	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:174	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:175	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:257	00 00 00 03 00 f2 05 b7 00 00 00 00 00 00 00 
2018-01-19 20:11:24:259	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:260	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:262	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:263	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:265	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:266	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:268	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:270	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:271	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:273	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:274	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:24:275	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:497	00 00 00 01 00 f6 92 b6 00 00 00 00 00 00 00 
2018-01-19 20:16:22:498	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:499	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:501	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:502	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:504	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:505	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:507	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:509	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:510	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:512	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:513	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:514	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:596	00 00 00 02 00 f6 93 1a 00 00 00 00 00 00 00 
2018-01-19 20:16:22:598	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:599	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:601	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:602	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:604	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:605	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:607	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:609	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:610	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:612	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:613	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:614	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:696	00 00 00 03 00 f6 93 7e 00 00 00 00 00 00 00 
2018-01-19 20:16:22:698	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:699	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:701	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:702	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:704	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:705	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:707	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:709	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:710	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:712	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:713	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:714	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:796	00 00 00 04 00 f6 93 e2 00 00 00 00 00 00 00 
2018-01-19 20:16:22:798	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:799	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:801	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:802	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:804	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:805	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:807	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:809	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:810	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:812	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:813	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:814	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:896	00 00 00 05 00 f6 94 46 00 00 00 00 00 00 00 
2018-01-19 20:16:22:898	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:899	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:901	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:902	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:904	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:905	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:907	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:908	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:910	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:912	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:913	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:914	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:996	00 00 00 06 00 f6 94 aa 00 00 00 00 00 00 00 
2018-01-19 20:16:22:998	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:22:999	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:001	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:002	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:004	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:005	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:007	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:009	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:010	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:012	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:013	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:014	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:096	00 00 00 07 00 f6 95 0e 00 00 00 00 00 00 00 
2018-01-19 20:16:23:098	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:099	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:101	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:102	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:104	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:105	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:107	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:108	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:110	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:112	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:113	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:114	00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:196	00 00 00 08 00 f6 95 72 00 00 00 00 00 00 00 
2018-01-19 20:16:23:198	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:199	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:201	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:202	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:204	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:205	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:207	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:209	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:210	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:212	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:213	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:16:23:214	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:932	00 00 00 01 00 f7 fb c9 00 00 00 00 00 00 00 
2018-01-19 20:17:54:933	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:934	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:936	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:938	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:939	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:941	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:942	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:944	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:945	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:947	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:948	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:54:949	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:031	00 00 00 02 00 f7 fc 2d 00 00 00 00 00 00 00 
2018-01-19 20:17:55:033	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:034	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:036	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:038	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:039	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:041	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:042	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:044	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:045	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:047	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:048	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:049	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:131	00 00 00 03 00 f7 fc 91 00 00 00 00 00 00 00 
2018-01-19 20:17:55:133	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:134	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:136	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:138	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:139	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:141	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:142	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:144	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:145	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:147	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:148	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:149	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:231	00 00 00 04 00 f7 fc f5 00 00 00 00 00 00 00 
2018-01-19 20:17:55:233	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:234	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:236	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:238	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:239	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:241	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:242	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:244	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:245	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:247	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:248	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:249	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:331	00 00 00 05 00 f7 fd 59 00 00 00 00 00 00 00 
2018-01-19 20:17:55:333	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:334	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:336	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:338	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:339	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:341	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:342	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:344	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:345	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:347	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:348	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:349	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:431	00 00 00 06 00 f7 fd bd 00 00 00 00 00 00 00 
2018-01-19 20:17:55:433	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:434	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:436	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:438	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:439	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:441	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:442	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:444	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:445	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:447	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:448	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:449	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:531	00 00 00 07 00 f7 fe 21 00 00 00 00 00 00 00 
2018-01-19 20:17:55:533	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:534	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:536	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:538	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:539	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:541	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:542	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:544	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:545	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:547	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:548	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:549	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:631	00 00 00 08 00 f7 fe 85 00 00 00 00 00 00 00 
2018-01-19 20:17:55:633	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:634	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:636	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:638	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:639	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:641	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:642	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:644	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:645	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:647	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:648	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:649	00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:731	00 00 00 09 00 f7 fe e9 00 00 00 00 00 00 00 
2018-01-19 20:17:55:733	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:734	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:736	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:738	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:739	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:741	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:742	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:744	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:17:55:745	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
