2018-01-19 20:11:20:738	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:739	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:741	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:743	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:744	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:746	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:747	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:749	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:750	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:751	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:833	00 00 00 07 00 f1 f8 57 00 00 00 00 00 00 00 
2018-01-19 20:11:20:835	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:836	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:838	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:839	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:841	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:843	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:844	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:846	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:847	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:849	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:850	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:851	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:933	00 00 00 08 00 f1 f8 bb 00 00 00 00 00 00 00 
2018-01-19 20:11:20:935	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:936	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:938	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:939	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:941	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:943	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:944	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:946	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:947	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:949	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:950	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:20:951	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:033	00 00 00 09 00 f1 f9 1f 00 00 00 00 00 00 00 
2018-01-19 20:11:21:035	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:036	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:038	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:039	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:041	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
